"Station","Date","Daily Rainfall (mm)"
"Kinneret Kvuza 09/1977-08/2023","02/01/1980","0"
"Kinneret Kvuza 09/1977-08/2023","05/01/1980","35.5"
"Kinneret Kvuza 09/1977-08/2023","06/01/1980","2.2"
"Kinneret Kvuza 09/1977-08/2023","09/01/1980","2.8"
"Kinneret Kvuza 09/1977-08/2023","12/01/1980","2.6"
"Kinneret Kvuza 09/1977-08/2023","13/01/1980","20.7"
"Kinneret Kvuza 09/1977-08/2023","14/01/1980","16.5"
"Kinneret Kvuza 09/1977-08/2023","15/01/1980","0.6"
"Kinneret Kvuza 09/1977-08/2023","17/01/1980","1.1"
"Kinneret Kvuza 09/1977-08/2023","22/01/1980","5.6"
"Kinneret Kvuza 09/1977-08/2023","23/01/1980","15.9"
"Kinneret Kvuza 09/1977-08/2023","24/01/1980","1.9"
"Kinneret Kvuza 09/1977-08/2023","25/01/1980","13.4"
"Kinneret Kvuza 09/1977-08/2023","28/01/1980","3"
"Kinneret Kvuza 09/1977-08/2023","04/02/1980","2.2"
"Kinneret Kvuza 09/1977-08/2023","05/02/1980","8"
"Kinneret Kvuza 09/1977-08/2023","06/02/1980","1.6"
"Kinneret Kvuza 09/1977-08/2023","09/02/1980","2.5"
"Kinneret Kvuza 09/1977-08/2023","11/02/1980","3.5"
"Kinneret Kvuza 09/1977-08/2023","13/02/1980","4"
"Kinneret Kvuza 09/1977-08/2023","14/02/1980","11.8"
"Kinneret Kvuza 09/1977-08/2023","15/02/1980","5.5"
"Kinneret Kvuza 09/1977-08/2023","16/02/1980","13.5"
"Kinneret Kvuza 09/1977-08/2023","17/02/1980","16.2"
"Kinneret Kvuza 09/1977-08/2023","19/02/1980","1.6"
"Kinneret Kvuza 09/1977-08/2023","20/02/1980","1.2"
"Kinneret Kvuza 09/1977-08/2023","21/02/1980","0"
"Kinneret Kvuza 09/1977-08/2023","23/02/1980","1.5"
"Kinneret Kvuza 09/1977-08/2023","25/02/1980","5"
"Kinneret Kvuza 09/1977-08/2023","26/02/1980","4.3"
"Kinneret Kvuza 09/1977-08/2023","27/02/1980","0.9"
"Kinneret Kvuza 09/1977-08/2023","28/02/1980","6.1"
"Kinneret Kvuza 09/1977-08/2023","29/02/1980","17.6"
"Kinneret Kvuza 09/1977-08/2023","01/03/1980","43.1"
"Kinneret Kvuza 09/1977-08/2023","02/03/1980","12.3"
"Kinneret Kvuza 09/1977-08/2023","08/03/1980","0"
"Kinneret Kvuza 09/1977-08/2023","11/03/1980","1.8"
"Kinneret Kvuza 09/1977-08/2023","12/03/1980","0"
"Kinneret Kvuza 09/1977-08/2023","17/03/1980","1.6"
"Kinneret Kvuza 09/1977-08/2023","18/03/1980","20.7"
"Kinneret Kvuza 09/1977-08/2023","27/03/1980","1.4"
"Kinneret Kvuza 09/1977-08/2023","01/04/1980","6.6"
"Kinneret Kvuza 09/1977-08/2023","02/04/1980","19.9"
"Kinneret Kvuza 09/1977-08/2023","03/04/1980","15.8"
"Kinneret Kvuza 09/1977-08/2023","14/04/1980","0.9"
"Kinneret Kvuza 09/1977-08/2023","15/04/1980","1.2"
"Kinneret Kvuza 09/1977-08/2023","25/04/1980","0"
"Kinneret Kvuza 09/1977-08/2023","27/04/1980","0"
"Kinneret Kvuza 09/1977-08/2023","28/04/1980","1.4"
"Kinneret Kvuza 09/1977-08/2023","07/05/1980","0"
"Kinneret Kvuza 09/1977-08/2023","14/05/1980","0"
"Kinneret Kvuza 09/1977-08/2023","06/09/1980","0"
"Kinneret Kvuza 09/1977-08/2023","02/10/1980","0"
"Kinneret Kvuza 09/1977-08/2023","03/10/1980","0"
"Kinneret Kvuza 09/1977-08/2023","24/10/1980","13.6"
"Kinneret Kvuza 09/1977-08/2023","30/10/1980","2.2"
"Kinneret Kvuza 09/1977-08/2023","31/10/1980","1"
"Kinneret Kvuza 09/1977-08/2023","20/11/1980","5.8"
"Kinneret Kvuza 09/1977-08/2023","26/11/1980","4"
"Kinneret Kvuza 09/1977-08/2023","06/12/1980","3.8"
"Kinneret Kvuza 09/1977-08/2023","09/12/1980","0.5"
"Kinneret Kvuza 09/1977-08/2023","10/12/1980","25.5"
"Kinneret Kvuza 09/1977-08/2023","11/12/1980","13.7"
"Kinneret Kvuza 09/1977-08/2023","12/12/1980","16.1"
"Kinneret Kvuza 09/1977-08/2023","13/12/1980","19"
"Kinneret Kvuza 09/1977-08/2023","14/12/1980","0.4"
"Kinneret Kvuza 09/1977-08/2023","15/12/1980","1.9"
"Kinneret Kvuza 09/1977-08/2023","16/12/1980","0.3"
"Kinneret Kvuza 09/1977-08/2023","24/12/1980","4"
"Kinneret Kvuza 09/1977-08/2023","25/12/1980","2.6"
"Kinneret Kvuza 09/1977-08/2023","26/12/1980","23.1"
"Kinneret Kvuza 09/1977-08/2023","27/12/1980","3.1"
"Kinneret Kvuza 09/1977-08/2023","28/12/1980","2.8"
"Kinneret Kvuza 09/1977-08/2023","29/12/1980","1"
"Kinneret Kvuza 09/1977-08/2023","30/12/1980","1.1"
"Kinneret Kvuza 09/1977-08/2023","02/01/1981","28.9"
"Kinneret Kvuza 09/1977-08/2023","03/01/1981","34"
"Kinneret Kvuza 09/1977-08/2023","04/01/1981","3.8"
"Kinneret Kvuza 09/1977-08/2023","05/01/1981","2"
"Kinneret Kvuza 09/1977-08/2023","07/01/1981","1.6"
"Kinneret Kvuza 09/1977-08/2023","10/01/1981","4.5"
"Kinneret Kvuza 09/1977-08/2023","11/01/1981","30.8"
"Kinneret Kvuza 09/1977-08/2023","12/01/1981","2.9"
"Kinneret Kvuza 09/1977-08/2023","16/01/1981","1.4"
"Kinneret Kvuza 09/1977-08/2023","17/01/1981","3.9"
"Kinneret Kvuza 09/1977-08/2023","18/01/1981","12"
"Kinneret Kvuza 09/1977-08/2023","25/01/1981","2.4"
"Kinneret Kvuza 09/1977-08/2023","26/01/1981","31.4"
"Kinneret Kvuza 09/1977-08/2023","27/01/1981","7.7"
"Kinneret Kvuza 09/1977-08/2023","30/01/1981","1.5"
"Kinneret Kvuza 09/1977-08/2023","31/01/1981","7"
"Kinneret Kvuza 09/1977-08/2023","01/02/1981","5.2"
"Kinneret Kvuza 09/1977-08/2023","04/02/1981","7.9"
"Kinneret Kvuza 09/1977-08/2023","05/02/1981","4.4"
"Kinneret Kvuza 09/1977-08/2023","08/02/1981","14.9"
"Kinneret Kvuza 09/1977-08/2023","15/02/1981","0.5"
"Kinneret Kvuza 09/1977-08/2023","16/02/1981","0.9"
"Kinneret Kvuza 09/1977-08/2023","17/02/1981","2.7"
"Kinneret Kvuza 09/1977-08/2023","20/02/1981","1.2"
"Kinneret Kvuza 09/1977-08/2023","23/02/1981","2.9"
"Kinneret Kvuza 09/1977-08/2023","24/02/1981","25.1"
"Kinneret Kvuza 09/1977-08/2023","25/02/1981","14.8"
"Kinneret Kvuza 09/1977-08/2023","28/02/1981","3.2"
"Kinneret Kvuza 09/1977-08/2023","01/03/1981","2.3"
"Kinneret Kvuza 09/1977-08/2023","11/03/1981","0.7"
"Kinneret Kvuza 09/1977-08/2023","21/03/1981","0.9"
"Kinneret Kvuza 09/1977-08/2023","25/03/1981","17.3"
"Kinneret Kvuza 09/1977-08/2023","26/03/1981","10.6"
"Kinneret Kvuza 09/1977-08/2023","06/04/1981","5.5"
"Kinneret Kvuza 09/1977-08/2023","09/04/1981","0.3"
"Kinneret Kvuza 09/1977-08/2023","11/04/1981","14.4"
"Kinneret Kvuza 09/1977-08/2023","12/04/1981","0.2"
"Kinneret Kvuza 09/1977-08/2023","15/04/1981","5.9"
"Kinneret Kvuza 09/1977-08/2023","27/09/1981","0"
"Kinneret Kvuza 09/1977-08/2023","12/10/1981","0.3"
"Kinneret Kvuza 09/1977-08/2023","29/10/1981","0"
"Kinneret Kvuza 09/1977-08/2023","04/11/1981","0"
"Kinneret Kvuza 09/1977-08/2023","10/11/1981","1.7"
"Kinneret Kvuza 09/1977-08/2023","11/11/1981","0.7"
"Kinneret Kvuza 09/1977-08/2023","12/11/1981","11.2"
"Kinneret Kvuza 09/1977-08/2023","17/11/1981","3.5"
