date,level
01/09/2023, -438.210
01/08/2023, -438.070
01/07/2023, -437.920
01/06/2023, -437.830
01/05/2023, -437.790
02/04/2023, -437.730
01/03/2023, -437.700
01/02/2023, -437.680
01/01/2023, -437.620
30/11/2022, -437.620
31/10/2022, -437.540
29/09/2022, -437.430
29/08/2022, -437.286
27/07/2022, -437.140
01/07/2022, -436.990
30/05/2022, -436.880
28/04/2022, -436.780
30/03/2022, -436.740
01/03/2022, -436.600
29/12/2021, -436.390
01/12/2021, -436.250
01/11/2021, -436.210
03/10/2021, -436.160
29/08/2021, -436.000
01/08/2021, -435.840
01/07/2021, -435.690
31/05/2021, -435.550
29/04/2021, -435.440
01/04/2021, -435.370
26/02/2021, -435.280
31/01/2021, -435.310
01/01/2021, -435.230
29/11/2020, -435.180
29/10/2020, -435.090
01/10/2020, -435.000
01/09/2020, -434.860
01/08/2020, -434.720
01/07/2020, -434.590
01/06/2020, -434.440
03/05/2020, -434.310
01/05/2020, -434.310
01/04/2020, -434.260
01/03/2020, -434.370
02/02/2020, -434.410
01/01/2020, -434.420
01/12/2019, -434.310
01/11/2019, -434.260
01/10/2019, -434.170
01/09/2019, -434.030
01/08/2019, -433.870
01/07/2019, -433.710
01/06/2019, -433.570
01/05/2019, -433.470
01/04/2019, -433.410
28/02/2019, -433.440
01/02/2019, -433.370
31/12/2018, -433.310
01/12/2018, -433.220
01/11/2018, -433.145
03/10/2018, -433.040
30/08/2018, -432.933
29/07/2018, -432.783
28/06/2018, -432.650
30/05/2018, -432.480
30/04/2018, -432.340
01/04/2018, -432.360
01/03/2018, -432.300
01/02/2018, -432.350
01/01/2018, -432.360
30/11/2017, -432.260
01/11/2017, -432.180
01/10/2017, -432.080
30/08/2017, -431.950
31/07/2017, -431.820
01/07/2017, -431.690
01/06/2017, -431.540
27/04/2017, -431.380
29/03/2017, -431.300
28/02/2017, -431.250
31/01/2017, -431.190
01/01/2017, -431.065
01/12/2016, -430.930
31/10/2016, -430.790
27/09/2016, -430.660
31/08/2016, -430.560
31/07/2016, -430.430
30/06/2016, -430.280
01/06/2016, -430.170
01/05/2016, -430.020
01/04/2016, -429.990
01/03/2016, -429.900
01/02/2016, -429.920
01/01/2016, -429.850
01/12/2015, -429.690
01/11/2015, -429.640
01/10/2015, -429.540
01/09/2015, -429.440
29/07/2015, -429.300
01/07/2015, -429.180
01/06/2015, -429.040
03/05/2015, -428.960
01/05/2015, -429.040
01/04/2015, -428.900
01/03/2015, -428.820
01/02/2015, -428.890
01/01/2015, -428.850
30/11/2014, -428.790
01/11/2014, -428.740
01/10/2014, -428.600
01/09/2014, -428.470
31/07/2014, -428.340
01/07/2014, -428.190
01/06/2014, -428.030
01/05/2014, -428.040
01/04/2014, -427.950
01/03/2014, -427.970
02/02/2014, -427.900
01/01/2014, -427.820
01/12/2013, -427.790
01/11/2013, -427.710
01/10/2013, -427.570
17/09/2013, -427.530
01/09/2013, -427.440
01/08/2013, -427.280
01/07/2013, -427.130
02/06/2013, -427.020
26/05/2013, -426.980
30/04/2013, -426.930
01/04/2013, -426.820
17/03/2013, -426.800
06/03/2013, -426.730
28/02/2013, -426.700
31/01/2013, -426.850
14/01/2013, -426.800
01/01/2013, -426.890
02/12/2012, -426.780
01/11/2012, -426.680
27/09/2012, -426.580
