date,level
12/9/2023, -211.115
11/9/2023, -211.105
10/9/2023, -211.095
09/9/2023, -211.085
08/9/2023, -211.070
07/9/2023, -211.060
06/9/2023, -211.050
05/9/2023, -211.040
04/9/2023, -211.030
03/9/2023, -211.020
02/9/2023, -211.010
01/9/2023, -210.995
31/8/2023, -210.985
30/8/2023, -210.980
29/8/2023, -210.970
28/8/2023, -210.955
27/8/2023, -210.940
26/8/2023, -210.920
25/8/2023, -210.900
24/8/2023, -210.880
23/8/2023, -210.860
22/8/2023, -210.850
21/8/2023, -210.840
20/8/2023, -210.830
19/8/2023, -210.820
18/8/2023, -210.810
17/8/2023, -210.795
16/8/2023, -210.785
15/8/2023, -210.775
14/8/2023, -210.760
13/8/2023, -210.750
12/8/2023, -210.740
11/8/2023, -210.730
10/8/2023, -210.720
09/8/2023, -210.710
08/8/2023, -210.695
07/8/2023, -210.685
06/8/2023, -210.675
05/8/2023, -210.660
04/8/2023, -210.650
03/8/2023, -210.630
02/8/2023, -210.615
01/8/2023, -210.605
31/7/2023, -210.595
30/7/2023, -210.585
29/7/2023, -210.575
28/7/2023, -210.560
27/7/2023, -210.545
26/7/2023, -210.535
25/7/2023, -210.525
24/7/2023, -210.515
23/7/2023, -210.505
22/7/2023, -210.490
21/7/2023, -210.475
20/7/2023, -210.465
19/7/2023, -210.465
18/7/2023, -210.445
17/7/2023, -210.435
16/7/2023, -210.425
15/7/2023, -210.410
14/7/2023, -210.400
13/7/2023, -210.385
12/7/2023, -210.380
11/7/2023, -210.370
10/7/2023, -210.360
09/7/2023, -210.350
08/7/2023, -210.340
07/7/2023, -210.325
06/7/2023, -210.315
05/7/2023, -210.305
04/7/2023, -210.300
03/7/2023, -210.290
02/7/2023, -210.280
01/7/2023, -210.270
28/6/2023, -210.245
27/6/2023, -210.235
26/6/2023, -210.225
25/6/2023, -210.215
22/6/2023, -210.190
21/6/2023, -210.185
20/6/2023, -210.175
19/6/2023, -210.165
18/6/2023, -210.150
15/6/2023, -210.125
14/6/2023, -210.115
13/6/2023, -210.110
12/6/2023, -210.100
11/6/2023, -210.095
08/6/2023, -210.075
07/6/2023, -210.075
06/6/2023, -210.065
05/6/2023, -210.055
04/6/2023, -210.045
01/6/2023, -210.035
31/5/2023, -210.025
30/5/2023, -210.025
29/5/2023, -210.025
28/5/2023, -210.020
27/5/2023, -210.015
26/5/2023, -210.010
25/5/2023, -210.005
24/5/2023, -210.005
23/5/2023, -210.005
22/5/2023, -210.000
21/5/2023, -209.990
20/5/2023, -209.985
19/5/2023, -209.980
18/5/2023, -209.975
17/5/2023, -209.975
16/5/2023, -209.980
15/5/2023, -209.975
14/5/2023, -209.970
13/5/2023, -209.965
12/5/2023, -209.960
11/5/2023, -209.955
10/5/2023, -209.955
09/5/2023, -209.955
08/5/2023, -209.955
07/5/2023, -209.950
06/5/2023, -209.945
05/5/2023, -209.940
04/5/2023, -209.935
03/5/2023, -209.935
02/5/2023, -209.935
01/5/2023, -209.940
30/4/2023, -209.940
29/4/2023, -209.940
28/4/2023, -209.935
27/4/2023, -209.940
26/4/2023, -209.940
25/4/2023, -209.940
24/4/2023, -209.945
23/4/2023, -209.945
22/4/2023, -209.940
21/4/2023, -209.940
20/4/2023, -209.935
19/4/2023, -209.945
18/4/2023, -209.945
17/4/2023, -209.955
16/4/2023, -209.960
15/4/2023, -209.960
14/4/2023, -209.970
13/4/2023, -209.980
12/4/2023, -209.990
11/4/2023, -210.010
10/4/2023, -210.040
09/4/2023, -210.040
08/4/2023, -210.045
07/4/2023, -210.045
06/4/2023, -210.045
05/4/2023, -210.045
04/4/2023, -210.055
03/4/2023, -210.060
02/4/2023, -210.060
28/3/2023, -210.060
27/3/2023, -210.065
26/3/2023, -210.075
25/3/2023, -210.080
24/3/2023, -210.080
23/3/2023, -210.085
22/3/2023, -210.095
21/3/2023, -210.105
20/3/2023, -210.130
19/3/2023, -210.160
18/3/2023, -210.165
17/3/2023, -210.165
16/3/2023, -210.170
15/3/2023, -210.175
14/3/2023, -210.195
13/3/2023, -210.205
12/3/2023, -210.205
11/3/2023, -210.200
10/3/2023, -210.195
09/3/2023, -210.195
08/3/2023, -210.200
07/3/2023, -210.200
06/3/2023, -210.200
05/3/2023, -210.205
04/3/2023, -210.210
03/3/2023, -210.210
02/3/2023, -210.215
01/3/2023, -210.215
28/2/2023, -210.220
27/2/2023, -210.225
26/2/2023, -210.230
23/2/2023, -210.240
22/2/2023, -210.245
21/2/2023, -210.250
20/2/2023, -210.255
19/2/2023, -210.260
16/2/2023, -210.265
15/2/2023, -210.275
14/2/2023, -210.280
13/2/2023, -210.285
12/2/2023, -210.290
11/2/2023, -210.295
10/2/2023, -210.300
09/2/2023, -210.315
08/2/2023, -210.350
07/2/2023, -210.400
06/2/2023, -210.425
05/2/2023, -210.440
02/2/2023, -210.475
01/2/2023, -210.500
31/1/2023, -210.525
30/1/2023, -210.535
29/1/2023, -210.540
28/1/2023, -210.540
27/1/2023, -210.535
26/1/2023, -210.535
25/1/2023, -210.535
24/1/2023, -210.540
