date,Grad,RH,Rain,STDwd,TD,TDmax,TDmin,TG,TW,Time,WD,WDmax,WS,WS1mm,WSmax,Ws10mm
2022-01-01 00:00:00,0.0,77.0,0.0,10.3,11.2,11.2,11.1,10.7,-9999.0,2354.0,75.0,64.0,5.0,6.0,7.0,5.5
2022-01-01 00:10:00,0.0,77.0,0.0,11.2,11.2,11.2,11.1,10.8,-9999.0,1.0,77.0,84.0,4.7,5.5,6.6,4.9
2022-01-01 00:20:00,0.0,75.0,0.0,10.0,11.4,11.5,11.2,10.9,-9999.0,20.0,80.0,83.0,5.1,6.2,8.0,5.1
2022-01-01 00:30:00,0.0,74.0,0.0,9.6,11.5,11.5,11.4,11.0,-9999.0,22.0,76.0,74.0,4.8,5.8,7.3,5.0
2022-01-01 00:40:00,0.0,73.0,0.0,9.1,11.6,11.7,11.5,11.1,-9999.0,34.0,74.0,64.0,4.8,5.7,7.2,5.0
2022-01-01 00:50:00,0.0,71.0,0.0,9.2,11.7,11.7,11.7,11.3,-9999.0,47.0,76.0,69.0,4.9,5.8,6.4,5.0
2022-01-01 01:00:00,0.0,72.0,0.0,9.9,11.6,11.7,11.5,11.1,-9999.0,51.0,73.0,73.0,3.8,4.5,5.3,4.7
2022-01-01 01:10:00,0.0,74.0,0.0,7.9,11.4,11.6,11.3,10.7,-9999.0,110.0,68.0,63.0,4.6,5.1,6.2,4.6
2022-01-01 01:20:00,0.0,73.0,0.0,8.7,11.4,11.5,11.2,10.8,-9999.0,111.0,70.0,83.0,4.2,4.5,5.6,4.6
2022-01-01 01:30:00,0.0,69.0,0.0,10.3,11.8,12.0,11.5,11.1,-9999.0,126.0,74.0,78.0,4.2,5.4,6.4,4.3
2022-01-01 01:40:00,0.0,68.0,0.0,10.9,11.9,12.0,11.7,11.3,-9999.0,132.0,69.0,73.0,4.0,4.7,5.7,4.3
2022-01-01 01:50:00,0.0,72.0,0.0,6.8,11.5,11.7,11.4,11.0,-9999.0,150.0,61.0,63.0,4.5,4.9,5.9,4.5
2022-01-01 02:00:00,0.0,73.0,0.0,8.1,11.4,11.5,11.3,10.9,-9999.0,151.0,59.0,61.0,4.0,5.2,5.7,4.6
2022-01-01 02:10:00,0.0,75.0,0.0,5.5,11.2,11.3,11.1,10.8,-9999.0,210.0,52.0,50.0,4.8,5.6,6.1,4.8
2022-01-01 02:20:00,0.0,75.0,0.0,57.5,11.1,11.2,11.1,10.6,-9999.0,211.0,81.0,65.0,1.8,4.1,4.1,4.6
2022-01-01 02:30:00,0.0,73.0,0.0,5.9,11.3,11.4,11.1,10.8,-9999.0,230.0,60.0,60.0,4.3,5.6,6.2,4.3
2022-01-01 02:40:00,0.0,74.0,0.0,28.0,11.1,11.3,11.1,10.3,-9999.0,232.0,83.0,60.0,2.2,5.4,5.8,4.6
2022-01-01 02:50:00,0.0,74.0,0.0,6.8,11.1,11.1,11.0,10.2,-9999.0,250.0,65.0,65.0,4.8,5.6,6.1,4.8
2022-01-01 03:00:00,0.0,72.0,0.0,10.6,11.1,11.2,11.0,10.4,-9999.0,252.0,64.0,63.0,4.5,5.4,5.9,5.0
2022-01-01 03:10:00,0.0,75.0,0.0,5.8,10.9,11.0,10.8,10.3,-9999.0,308.0,49.0,51.0,5.2,5.5,6.2,5.3
2022-01-01 03:20:00,0.0,75.0,0.0,14.8,10.9,10.9,10.8,10.4,-9999.0,314.0,54.0,50.0,4.9,6.2,7.1,5.5
2022-01-01 03:30:00,0.0,74.0,0.0,10.6,10.9,11.0,10.9,10.5,-9999.0,321.0,54.0,57.0,4.7,6.0,6.9,4.9
2022-01-01 03:40:00,0.0,74.0,0.0,5.6,11.0,11.1,10.9,10.6,-9999.0,340.0,57.0,59.0,5.6,6.3,7.1,5.6
2022-01-01 03:50:00,0.0,74.0,0.0,5.1,11.1,11.1,11.0,10.6,-9999.0,350.0,60.0,58.0,6.4,7.4,8.3,6.4
2022-01-01 04:00:00,0.0,74.0,0.0,6.0,11.0,11.0,10.9,10.3,-9999.0,351.0,57.0,55.0,5.7,6.3,6.9,6.4
2022-01-01 04:10:00,0.0,74.0,0.0,9.2,10.8,10.9,10.7,10.0,-9999.0,401.0,56.0,48.0,4.7,5.6,6.9,5.6
2022-01-01 04:20:00,0.0,73.0,0.0,9.5,10.9,11.0,10.8,10.4,-9999.0,420.0,55.0,43.0,5.3,5.8,7.3,5.3
2022-01-01 04:30:00,0.0,73.0,0.0,7.3,11.0,11.0,10.9,10.6,-9999.0,421.0,59.0,49.0,5.0,5.6,6.3,5.3
2022-01-01 04:40:00,0.0,74.0,0.0,10.0,10.9,11.0,10.9,10.5,-9999.0,431.0,60.0,59.0,4.4,5.0,5.8,5.0
2022-01-01 04:50:00,0.0,74.0,0.0,90.9,10.8,10.9,10.8,10.4,-9999.0,441.0,210.0,57.0,2.9,4.7,5.3,4.3
2022-01-01 05:00:00,0.0,73.0,0.0,34.9,11.0,11.2,10.8,10.7,-9999.0,451.0,237.0,259.0,2.2,3.8,4.6,2.7
2022-01-01 05:10:00,0.0,78.0,0.0,14.6,10.6,11.0,10.4,10.2,-9999.0,508.0,247.0,261.0,2.6,3.6,4.8,2.7
2022-01-01 05:20:00,0.0,81.0,0.0,29.4,10.3,10.4,10.1,9.8,-9999.0,511.0,196.0,239.0,1.5,2.0,2.6,2.6
2022-01-01 05:30:00,0.0,83.0,0.0,23.6,9.9,10.1,9.8,9.4,-9999.0,521.0,194.0,179.0,0.9,1.7,2.1,1.5
2022-01-01 05:40:00,0.0,86.0,0.0,37.9,9.8,9.8,9.7,9.2,-9999.0,531.0,178.0,233.0,0.7,1.1,1.6,0.9
2022-01-01 05:50:00,0.0,87.0,0.0,20.3,9.6,9.7,9.6,9.1,-9999.0,550.0,172.0,204.0,1.0,1.3,1.6,1.0
2022-01-01 06:00:00,0.0,88.0,0.0,27.1,9.6,9.6,9.6,9.1,-9999.0,551.0,173.0,153.0,0.8,1.1,1.3,1.0
2022-01-01 06:10:00,0.0,89.0,0.0,12.1,9.6,9.7,9.6,9.2,-9999.0,610.0,218.0,213.0,1.3,1.9,2.6,1.3
2022-01-01 06:20:00,0.0,90.0,0.0,20.8,9.7,9.8,9.7,9.4,-9999.0,611.0,233.0,222.0,0.8,1.8,1.5,1.4
2022-01-01 06:30:00,0.0,91.0,0.0,19.9,9.8,9.8,9.8,9.5,-9999.0,621.0,270.0,279.0,0.1,0.7,1.1,0.8
2022-01-01 06:40:00,0.0,92.0,0.1,15.4,9.8,9.9,9.8,9.6,-9999.0,636.0,301.0,286.0,0.3,0.7,0.8,0.3
2022-01-01 06:50:00,1.0,93.0,0.2,22.3,9.8,9.8,9.7,9.7,-9999.0,650.0,174.0,156.0,0.6,0.9,1.1,0.6
2022-01-01 07:00:00,3.0,93.0,0.2,15.1,9.7,9.7,9.6,9.7,-9999.0,700.0,128.0,138.0,0.9,1.1,1.3,0.9
2022-01-01 07:10:00,10.0,94.0,0.1,4.0,9.6,9.7,9.6,9.7,-9999.0,710.0,101.0,99.0,1.5,1.8,1.9,1.5
2022-01-01 07:20:00,15.0,94.0,0.0,6.6,9.6,9.7,9.6,9.7,-9999.0,719.0,95.0,104.0,1.8,1.9,2.2,1.8
2022-01-01 07:30:00,22.0,95.0,0.0,6.7,9.7,9.7,9.7,9.7,-9999.0,721.0,95.0,88.0,1.5,1.7,1.9,1.7
2022-01-01 07:40:00,32.0,95.0,0.0,7.1,9.7,9.8,9.7,9.9,-9999.0,739.0,109.0,109.0,1.5,1.8,2.1,1.5
2022-01-01 07:50:00,52.0,95.0,0.1,5.3,9.8,9.9,9.8,10.1,-9999.0,741.0,124.0,120.0,1.2,1.4,1.6,1.5
2022-01-01 08:00:00,87.0,95.0,0.0,5.6,10.0,10.1,9.8,10.5,-9999.0,753.0,130.0,118.0,1.0,1.4,1.5,1.2
2022-01-01 08:10:00,72.0,95.0,0.0,14.9,10.1,10.2,10.0,10.6,-9999.0,801.0,127.0,139.0,0.6,0.8,0.9,1.0
2022-01-01 08:20:00,64.0,95.0,0.0,11.5,10.2,10.3,10.2,10.7,-9999.0,820.0,109.0,109.0,1.1,1.7,2.0,1.1
2022-01-01 08:30:00,60.0,95.0,0.1,15.7,10.1,10.2,10.1,10.6,-9999.0,824.0,141.0,125.0,1.1,1.5,1.8,1.2
2022-01-01 08:40:00,65.0,94.0,0.0,33.3,10.2,10.4,10.1,10.6,-9999.0,840.0,126.0,113.0,1.1,1.9,2.2,1.1
2022-01-01 08:50:00,75.0,94.0,0.0,11.7,10.2,10.2,10.1,10.4,-9999.0,850.0,92.0,79.0,1.7,2.1,2.4,1.7
2022-01-01 09:00:00,107.0,93.0,0.0,11.9,10.2,10.3,10.2,10.5,-9999.0,900.0,81.0,84.0,2.7,3.6,4.9,2.7
2022-01-01 09:10:00,121.0,91.0,0.0,10.3,10.3,10.4,10.2,10.5,-9999.0,910.0,78.0,75.0,3.5,5.0,5.7,3.5
2022-01-01 09:20:00,141.0,88.0,0.0,11.5,10.2,10.3,10.2,10.5,-9999.0,916.0,71.0,63.0,3.8,4.7,6.2,3.9
2022-01-01 09:30:00,192.0,86.0,0.0,10.9,10.3,10.4,10.2,10.7,-9999.0,930.0,70.0,64.0,4.9,5.5,7.1,4.9
