date,location_key,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
2020-01-01,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.527778,7.847222,16.666667,0.0,,6.166667,71.35667
2020-01-02,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.708333,8.902778,16.972222,0.0,,6.958333,69.656852
2020-01-03,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.652778,10.138889,16.152778,0.0,,2.902778,52.555486
2020-01-04,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.888889,8.555556,13.625,0.0,,4.736111,67.061983
2020-01-05,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.411111,9.6,17.155556,1.5748,,5.833333,69.480952
2020-01-06,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.652778,7.180556,16.777778,0.0,,2.611111,54.412181
2020-01-07,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.477778,8.977778,19.377778,0.0,,2.888889,52.974151
2020-01-08,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.733333,7.7,15.733333,0.6096,,3.75,61.06607
2020-01-09,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.083333,9.944444,13.680556,0.0,,6.291667,75.927193
2020-01-10,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.911111,8.277778,13.722222,0.0,,6.486111,80.886651
2020-01-11,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,0.0,0.0,,0.0,0.0,,,,,,,,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.388889,6.694444,15.416667,0.0,,6.625,79.101122
