time,T_in,T_out
2023-06-24 23:30:00,13.8,16.6
2023-06-24 23:40:00,14.1,16.4
2023-06-24 23:50:00,14.0,16.4
2023-06-25 00:00:00,14.6,16.4
2023-06-25 00:10:00,14.2,16.3
2023-06-25 00:20:00,14.3,16.1
2023-06-25 00:30:00,14.6,16.0
2023-06-25 00:40:00,14.3,15.9
2023-06-25 00:50:00,13.9,16.1
2023-06-25 01:00:00,14.7,16.3
2023-06-25 01:10:00,14.2,16.2
2023-06-25 01:20:00,14.4,16.2
2023-06-25 01:30:00,14.6,16.3
2023-06-25 01:40:00,14.0,16.0
2023-06-25 01:50:00,14.7,15.5
2023-06-25 02:00:00,14.2,15.6
2023-06-25 02:10:00,14.4,15.9
2023-06-25 02:20:00,14.6,15.9
2023-06-25 02:30:00,14.4,15.7
2023-06-25 02:40:00,14.8,15.6
2023-06-25 02:50:00,14.0,15.2
2023-06-25 03:00:00,14.6,15.1
2023-06-25 03:10:00,14.7,15.0
2023-06-25 03:20:00,14.4,14.7
2023-06-25 03:30:00,14.9,14.9
2023-06-25 03:40:00,14.2,14.7
2023-06-25 03:50:00,14.9,14.5
2023-06-25 04:00:00,14.5,14.6
2023-06-25 04:10:00,14.6,14.5
2023-06-25 04:20:00,14.6,14.5
2023-06-25 04:30:00,14.7,14.6
2023-06-25 04:40:00,15.0,14.4
2023-06-25 04:50:00,14.4,14.1
2023-06-25 05:00:00,15.2,14.1
2023-06-25 05:10:00,14.4,13.9
2023-06-25 05:20:00,15.2,13.8
2023-06-25 05:30:00,14.4,13.8
2023-06-25 05:40:00,15.1,13.7
2023-06-25 05:50:00,14.4,13.4
2023-06-25 06:00:00,15.2,13.5
2023-06-25 06:10:00,15.7,13.7
2023-06-25 06:20:00,16.0,14.1
2023-06-25 06:30:00,16.2,14.7
2023-06-25 06:40:00,16.5,15.2
2023-06-25 06:50:00,16.7,15.8
2023-06-25 07:00:00,17.5,17.0
2023-06-25 07:10:00,18.4,17.9
2023-06-25 07:20:00,19.0,19.0
2023-06-25 07:30:00,19.5,20.1
2023-06-25 07:40:00,19.9,21.1
2023-06-25 07:50:00,20.2,22.1
2023-06-25 08:00:00,20.6,23.3
2023-06-25 08:10:00,21.0,24.3
2023-06-25 08:20:00,21.2,25.0
2023-06-25 08:30:00,21.5,25.5
2023-06-25 08:40:00,21.8,26.2
2023-06-25 08:50:00,22.0,26.8
2023-06-25 09:00:00,22.2,27.5
2023-06-25 09:10:00,22.4,27.8
2023-06-25 09:20:00,22.7,28.1
2023-06-25 09:30:00,23.0,28.6
2023-06-25 09:40:00,23.3,29.2
2023-06-25 09:50:00,23.6,29.6
2023-06-25 10:00:00,23.9,29.9
2023-06-25 10:10:00,23.9,30.3
2023-06-25 10:20:00,24.1,30.6
2023-06-25 10:30:00,24.1,31.0
2023-06-25 10:40:00,24.4,31.0
2023-06-25 10:50:00,24.7,31.4
2023-06-25 11:00:00,25.1,31.8
2023-06-25 11:10:00,25.5,32.1
2023-06-25 11:20:00,25.5,32.4
2023-06-25 11:30:00,25.3,32.6
2023-06-25 11:40:00,25.4,32.8
2023-06-25 11:50:00,25.5,32.7
2023-06-25 12:00:00,25.8,32.7
2023-06-25 12:10:00,25.6,33.2
2023-06-25 12:20:00,25.7,33.0
2023-06-25 12:30:00,25.8,33.0
2023-06-25 12:40:00,25.8,33.7
2023-06-25 12:50:00,25.8,33.7
2023-06-25 13:00:00,25.8,33.5
2023-06-25 13:10:00,26.0,33.5
2023-06-25 13:20:00,26.4,33.3
2023-06-25 13:30:00,26.6,33.6
2023-06-25 13:40:00,26.4,33.7
2023-06-25 13:50:00,26.3,33.3
2023-06-25 14:00:00,26.2,33.5
2023-06-25 14:10:00,26.2,33.5
2023-06-25 14:20:00,26.1,33.8
